City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
345,yellowknife,83.7268,-124.9684,0.39,94,100,2.81,1690381665
346,iqaluit,58.7861,-73.2071,12.86,80,100,1.95,1690381666
347,port-aux-francais,-88.7143,58.2204,-51.55,100,100,4.96,1690381666
348,kingaroy,-26.1143,151.3094,10.61,93,1,2.9,1690381666
349,kanniyakumari,6.7441,77.9273,27.4,84,100,6.38,1690381666
350,bredasdorp,-79.7624,18.3179,-46.45,100,100,2.62,1690381667
351,krasyliv,49.6586,26.9459,23.53,64,100,2.18,1690381667
352,bilibino,64.5547,170.0451,11.81,81,91,1.3,1690381667
353,adamstown,-32.0581,-135.317,14.15,52,98,7.68,1690381668
354,dudinka,88.0893,80.2241,-1.03,94,48,3.6,1690381668
355,adamstown,-45.3063,-145.303,7.92,73,91,8.15,1690381668
356,waitangi,-69.7448,-156.6728,-18.66,100,100,5.9,1690381668
357,liwale,-9.7657,37.2509,30.18,24,46,4.79,1690381669
358,adamstown,-49.8932,-115.4454,6.16,93,100,11.26,1690381669
359,margaret river,-59.2821,103.2097,-10.29,80,100,14.64,1690381669
360,hayma',20.3564,56.2295,39.98,26,10,2.42,1690381669
361,qaqortoq,58.9574,-35.0601,8.84,91,99,14.06,1690381670
362,blackmans bay,-80.8867,144.6919,-43.85,87,100,6.09,1690381670
363,grytviken,-68.9442,-25.446,-10.25,96,100,6.3,1690381670
364,edinburgh of the seven seas,-38.0228,-5.4155,9.87,53,100,9.16,1690381670
365,qaqortoq,63.4914,-47.8272,-2.46,77,3,5.6,1690381671
366,margaret river,-52.3832,106.5647,-0.59,62,100,14.52,1690381671
367,edinburgh of the seven seas,-52.1897,-13.5678,-0.18,67,100,12.74,1690381672
368,mazatlan,22.3771,-107.947,28.3,73,93,0.91,1690381672
369,waitangi,-55.6626,-176.7216,4.18,73,36,5.61,1690381672
370,whitehorse,77.4236,-132.5825,0.22,96,11,0.71,1690381672
371,kawthoung,9.4031,95.5014,27.87,86,100,7.95,1690381673
372,tralee,50.4859,-14.1518,17.21,97,100,11.77,1690381673
373,port-aux-francais,-69.9238,84.7671,-44.76,100,100,5.41,1690381673
374,shingu,24.2956,139.2749,29.09,78,100,5.42,1690381673
375,grytviken,-61.3754,-30.0062,-3.54,89,100,10.12,1690381674
376,isafjordur,85.3641,-29.7805,0.27,98,100,3.45,1690381674
